,District,State,LokSabhaConstituency,Constituency,No,Type,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,PartyShort
431,Dewas,MADHYA PRADESH,DEWAS,DEWAS,21.0,SC,Manohar Untwal,Bharatiya Janta Party,1617215.0,1143968.0,70.7 %,260313.0,22.8%,BJP
432,Dewas,MADHYA PRADESH,KHANDWA,KHANDWA,28.0,GEN,Nandkumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,1759410.0,1257327.0,71.5 %,259714.0,20.7%,BJP
433,Dewas,MADHYA PRADESH,VIDISHA,VIDISHA,18.0,GEN,Sushma Swaraj,Bharatiya Janta Party,1634370.0,1073473.0,65.7 %,410698.0,38.3%,BJP
434,Dhar,MADHYA PRADESH,DHAR,DHAR,25.0,ST,Savitri Thakur,Bharatiya Janta Party,1668441.0,1076816.0,64.5 %,104328.0,9.7%,BJP
435,Dindori,MADHYA PRADESH,MANDLA,MANDLA,14.0,ST,Faggan Singh Kulaste,Bharatiya Janta Party,1824424.0,1218518.0,66.8 %,110469.0,9.1%,BJP
436,Guna,MADHYA PRADESH,GUNA,GUNA,4.0,GEN,Jyotiraditya M Scindia,Indian National Congress,1605619.0,976629.0,60.8 %,120792.0,12.4%,INC
437,Guna,MADHYA PRADESH,RAJGARH,RAJGARH,20.0,GEN,Rodmal Nagar,Bharatiya Janta Party,1578748.0,1010724.0,64.0 %,228737.0,22.6%,BJP
438,Gwalior,MADHYA PRADESH,GWALIOR,GWALIOR,3.0,GEN,Narendra Singh Tomar,Bharatiya Janta Party,1877003.0,990912.0,52.8 %,29699.0,3.0%,BJP
439,Harda,MADHYA PRADESH,BETUL,BETUL,29.0,ST,Jyoti Dhurve,Bharatiya Janta Party,1607822.0,1047719.0,65.2 %,328614.0,31.4%,BJP
440,Hoshangabad,MADHYA PRADESH,HOSHANGABAD,HOSHANGABAD,17.0,GEN,Uday Pratap Singh,Bharatiya Janta Party,1568127.0,1031175.0,65.8 %,389960.0,37.8%,BJP
441,Indore,MADHYA PRADESH,DHAR,DHAR,25.0,ST,Savitri Thakur,Bharatiya Janta Party,1668441.0,1076816.0,64.5 %,104328.0,9.7%,BJP
442,Indore,MADHYA PRADESH,INDORE,INDORE,26.0,GEN,Sumitra Mahajan (TAI),Bharatiya Janta Party,2115303.0,1316817.0,62.3 %,466901.0,35.5%,BJP
443,Jabalpur,MADHYA PRADESH,JABALPUR,JABALPUR,13.0,GEN,Rakesh Singh,Bharatiya Janta Party,1711683.0,1002184.0,58.6 %,208639.0,20.8%,BJP
444,Jhabua,MADHYA PRADESH,RATLAM,RATLAM,24.0,ST,Dileepsingh Bhuria,Bharatiya Janta Party,1702648.0,1082681.0,63.6 %,108447.0,10.0%,BJP
445,Katni,MADHYA PRADESH,KHAJURAHO,KHAJURAHO,8.0,GEN,Nagendra Singh,Bharatiya Janta Party,1702794.0,874477.0,51.4 %,247490.0,28.3%,BJP
446,Katni,MADHYA PRADESH,SHAHDOL,SHAHDOL,12.0,ST,Dalpat Singh Paraste,Bharatiya Janta Party,1561321.0,968518.0,62.0 %,241301.0,24.9%,BJP
447,Khandwa,MADHYA PRADESH,BETUL,BETUL,29.0,ST,Jyoti Dhurve,Bharatiya Janta Party,1607822.0,1047719.0,65.2 %,328614.0,31.4%,BJP
448,Khandwa,MADHYA PRADESH,KHANDWA,KHANDWA,28.0,GEN,Nandkumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,1759410.0,1257327.0,71.5 %,259714.0,20.7%,BJP
449,Khargone,MADHYA PRADESH,KHANDWA,KHANDWA,28.0,GEN,Nandkumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,1759410.0,1257327.0,71.5 %,259714.0,20.7%,BJP
450,Khargone,MADHYA PRADESH,KHARGONE,KHARGONE,27.0,ST,Subhash Patel,Bharatiya Janta Party,1703271.0,1152525.0,67.7 %,257879.0,22.4%,BJP
451,Mandla,MADHYA PRADESH,MANDLA,MANDLA,14.0,ST,Faggan Singh Kulaste,Bharatiya Janta Party,1824424.0,1218518.0,66.8 %,110469.0,9.1%,BJP
452,Mandsaur,MADHYA PRADESH,MANDSOUR,MANDSOUR,23.0,GEN,Sudhir Gupta,Bharatiya Janta Party,1626571.0,1161349.0,71.4 %,303649.0,26.1%,BJP
453,Morena,MADHYA PRADESH,MORENA,MORENA,1.0,GEN,Anoop Mishra,Bharatiya Janta Party,1702492.0,854279.0,50.2 %,132981.0,15.6%,BJP
454,Narsinghpur,MADHYA PRADESH,HOSHANGABAD,HOSHANGABAD,17.0,GEN,Uday Pratap Singh,Bharatiya Janta Party,1568127.0,1031175.0,65.8 %,389960.0,37.8%,BJP
455,Narsinghpur,MADHYA PRADESH,MANDLA,MANDLA,14.0,ST,Faggan Singh Kulaste,Bharatiya Janta Party,1824424.0,1218518.0,66.8 %,110469.0,9.1%,BJP
456,Neemuch,MADHYA PRADESH,MANDSOUR,MANDSOUR,23.0,GEN,Sudhir Gupta,Bharatiya Janta Party,1626571.0,1161349.0,71.4 %,303649.0,26.1%,BJP
457,Panna,MADHYA PRADESH,KHAJURAHO,KHAJURAHO,8.0,GEN,Nagendra Singh,Bharatiya Janta Party,1702794.0,874477.0,51.4 %,247490.0,28.3%,BJP
458,Raisen,MADHYA PRADESH,HOSHANGABAD,HOSHANGABAD,17.0,GEN,Uday Pratap Singh,Bharatiya Janta Party,1568127.0,1031175.0,65.8 %,389960.0,37.8%,BJP
459,Raisen,MADHYA PRADESH,VIDISHA,VIDISHA,18.0,GEN,Sushma Swaraj,Bharatiya Janta Party,1634370.0,1073473.0,65.7 %,410698.0,38.3%,BJP
460,Rajgarh,MADHYA PRADESH,RAJGARH,RAJGARH,20.0,GEN,Rodmal Nagar,Bharatiya Janta Party,1578748.0,1010724.0,64.0 %,228737.0,22.6%,BJP
461,Ratlam,MADHYA PRADESH,MANDSOUR,MANDSOUR,23.0,GEN,Sudhir Gupta,Bharatiya Janta Party,1626571.0,1161349.0,71.4 %,303649.0,26.1%,BJP
462,Ratlam,MADHYA PRADESH,RATLAM,RATLAM,24.0,ST,Dileepsingh Bhuria,Bharatiya Janta Party,1702648.0,1082681.0,63.6 %,108447.0,10.0%,BJP
463,Ratlam,MADHYA PRADESH,UJJAIN,UJJAIN,22.0,SC,Prof. Chintamani Malviya,Bharatiya Janta Party,1525481.0,1016405.0,66.6 %,309663.0,30.5%,BJP
464,Rewa,MADHYA PRADESH,REWA,REWA,10.0,GEN,Janardan Mishra,Bharatiya Janta Party,1544719.0,830002.0,53.7 %,168726.0,20.3%,BJP
465,Sagar,MADHYA PRADESH,DAMOH,DAMOH,7.0,GEN,Prahalad Singh Patel,Bharatiya Janta Party,1651106.0,912080.0,55.2 %,213299.0,23.4%,BJP
466,Sagar,MADHYA PRADESH,SAGAR,SAGAR,5.0,GEN,Laxmi Narayan Yadav,Bharatiya Janta Party,1520184.0,891929.0,58.7 %,120737.0,13.5%,BJP
467,Satna,MADHYA PRADESH,SATNA,SATNA,9.0,GEN,Ganesh Singh,Bharatiya Janta Party,1458084.0,913444.0,62.7 %,8688.0,1.0%,BJP
468,Sehore,MADHYA PRADESH,BHOPAL,BHOPAL,19.0,GEN,Alok Sanjar,Bharatiya Janta Party,1956936.0,1130182.0,57.8 %,370696.0,32.8%,BJP
469,Sehore,MADHYA PRADESH,DEWAS,DEWAS,21.0,SC,Manohar Untwal,Bharatiya Janta Party,1617215.0,1143968.0,70.7 %,260313.0,22.8%,BJP
470,Sehore,MADHYA PRADESH,VIDISHA,VIDISHA,18.0,GEN,Sushma Swaraj,Bharatiya Janta Party,1634370.0,1073473.0,65.7 %,410698.0,38.3%,BJP
471,Seoni,MADHYA PRADESH,BALAGHAT,BALAGHAT,15.0,GEN,Bodhsingh Bhagat,Bharatiya Janta Party,1629769.0,1113364.0,68.3 %,96041.0,8.6%,BJP
472,Seoni,MADHYA PRADESH,MANDLA,MANDLA,14.0,ST,Faggan Singh Kulaste,Bharatiya Janta Party,1824424.0,1218518.0,66.8 %,110469.0,9.1%,BJP
473,Shahdol,MADHYA PRADESH,SHAHDOL,SHAHDOL,12.0,ST,Dalpat Singh Paraste,Bharatiya Janta Party,1561321.0,968518.0,62.0 %,241301.0,24.9%,BJP
474,Shahdol,MADHYA PRADESH,SIDHI,SIDHI,11.0,GEN,Riti Pathak,Bharatiya Janta Party,1736050.0,989396.0,57.0 %,108046.0,10.9%,BJP
475,Shajapur,MADHYA PRADESH,DEWAS,DEWAS,21.0,SC,Manohar Untwal,Bharatiya Janta Party,1617215.0,1143968.0,70.7 %,260313.0,22.8%,BJP
476,Shajapur,MADHYA PRADESH,RAJGARH,RAJGARH,20.0,GEN,Rodmal Nagar,Bharatiya Janta Party,1578748.0,1010724.0,64.0 %,228737.0,22.6%,BJP
477,Sheopur,MADHYA PRADESH,MORENA,MORENA,1.0,GEN,Anoop Mishra,Bharatiya Janta Party,1702492.0,854279.0,50.2 %,132981.0,15.6%,BJP
478,Shivpuri,MADHYA PRADESH,GUNA,GUNA,4.0,GEN,Jyotiraditya M Scindia,Indian National Congress,1605619.0,976629.0,60.8 %,120792.0,12.4%,INC
479,Shivpuri,MADHYA PRADESH,GWALIOR,GWALIOR,3.0,GEN,Narendra Singh Tomar,Bharatiya Janta Party,1877003.0,990912.0,52.8 %,29699.0,3.0%,BJP
480,Sidhi,MADHYA PRADESH,SIDHI,SIDHI,11.0,GEN,Riti Pathak,Bharatiya Janta Party,1736050.0,989396.0,57.0 %,108046.0,10.9%,BJP
481,Tikamgarh,MADHYA PRADESH,TIKAMGARH,TIKAMGARH,6.0,SC,Dr. Virendra Kumar,Bharatiya Janta Party,1529003.0,766321.0,50.1 %,208731.0,27.2%,BJP
482,Ujjain,MADHYA PRADESH,UJJAIN,UJJAIN,22.0,SC,Prof. Chintamani Malviya,Bharatiya Janta Party,1525481.0,1016405.0,66.6 %,309663.0,30.5%,BJP
483,Umaria,MADHYA PRADESH,SHAHDOL,SHAHDOL,12.0,ST,Dalpat Singh Paraste,Bharatiya Janta Party,1561321.0,968518.0,62.0 %,241301.0,24.9%,BJP
484,Vidisha,MADHYA PRADESH,SAGAR,SAGAR,5.0,GEN,Laxmi Narayan Yadav,Bharatiya Janta Party,1520184.0,891929.0,58.7 %,120737.0,13.5%,BJP
485,Vidisha,MADHYA PRADESH,VIDISHA,VIDISHA,18.0,GEN,Sushma Swaraj,Bharatiya Janta Party,1634370.0,1073473.0,65.7 %,410698.0,38.3%,BJP
486,Ahmednagar,MAHARASHTRA,AHMEDNAGAR,AHMEDNAGAR,37.0,GEN,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,1699408.0,1062318.0,62.5 %,209122.0,19.7%,BJP
487,Ahmednagar,MAHARASHTRA,SHIRDI,SHIRDI,38.0,SC,Lokhande Sadashiv Kisan,Shiv Sena,1459712.0,932645.0,63.9 %,199922.0,21.4%,SS
488,Akola,MAHARASHTRA,AKOLA,AKOLA,6.0,GEN,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1646463.0,978491.0,59.4 %,203116.0,20.8%,BJP
489,Amravati,MAHARASHTRA,AMRAVATI,AMRAVATI,7.0,SC,Adsul Anandrao Vithoba,Shiv Sena,1611365.0,1004061.0,62.3 %,137932.0,13.7%,SS
490,Amravati,MAHARASHTRA,WARDHA,WARDHA,8.0,GEN,Ramdas Chandrabhanji Tadas,Bharatiya Janta Party,1564553.0,1013445.0,64.8 %,215783.0,21.3%,BJP
491,Aurangabad,MAHARASHTRA,JALNA,JALNA,18.0,GEN,Danve Raosaheb Dadarao,Bharatiya Janta Party,1612054.0,1066259.0,66.1 %,206798.0,19.4%,BJP
492,Aurangabad,MAHARASHTRA,AURANGABAD,AURANGABAD,19.0,GEN,Chandrakant Bhaurao Khaire,Shiv Sena,1589393.0,982933.0,61.8 %,162000.0,16.5%,SS
493,Beed,MAHARASHTRA,BEED,BEED,39.0,GEN,Munde Gopinathrao Pandurang,Bharatiya Janta Party,1792650.0,1232202.0,68.7 %,136454.0,11.1%,BJP
494,Bhandara,MAHARASHTRA,BHANDARA-GONDIYA,BHANDARA-GONDIYA,11.0,GEN,Nanabhau Falgunrao Patole,Bharatiya Janta Party,1656284.0,1197196.0,72.3 %,149254.0,12.5%,BJP
495,Buldhana,MAHARASHTRA,BULDHANA,BULDHANA,5.0,GEN,Jadhav Prataprao Ganpatrao,Shiv Sena,1596234.0,978626.0,61.3 %,159579.0,16.3%,SS
496,Buldhana,MAHARASHTRA,RAVER,RAVER,4.0,GEN,Khadase Raksha Nikhil,Bharatiya Janta Party,1593370.0,1009213.0,63.3 %,318068.0,31.5%,BJP
497,Chandrapur,MAHARASHTRA,CHANDRAPUR,CHANDRAPUR,13.0,GEN,Ahir Hansraj Gangaram,Bharatiya Janta Party,1753690.0,1109743.0,63.3 %,236269.0,21.3%,BJP
498,Chandrapur,MAHARASHTRA,GADCHIROLI-CHIMUR,GADCHIROLI-CHIMUR,12.0,ST,Ashok Mahadeorao Nete,Bharatiya Janta Party,1469767.0,1027129.0,69.9 %,236870.0,23.1%,BJP
499,Dhule,MAHARASHTRA,AHMEDNAGAR,AHMEDNAGAR,37.0,GEN,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,1699408.0,1062318.0,62.5 %,209122.0,19.7%,BJP
500,Dhule,MAHARASHTRA,DHULE,DHULE,2.0,GEN,Dr. Bhamre Subhash Ramrao,Bharatiya Janta Party,1674469.0,983083.0,58.7 %,130723.0,13.3%,BJP
501,Dhule,MAHARASHTRA,JALGAON,JALGAON,3.0,GEN,A.T. Nana Patil,Bharatiya Janta Party,1707933.0,990332.0,58.0 %,383525.0,38.7%,BJP
502,Dhule,MAHARASHTRA,NANDURBAR,NANDURBAR,1.0,ST,Dr.Gavit Heena Vaijaykumar,Bharatiya Janta Party,1672715.0,1116676.0,66.8 %,106905.0,9.6%,BJP
503,Gadchiroli,MAHARASHTRA,GADCHIROLI-CHIMUR,GADCHIROLI-CHIMUR,12.0,ST,Ashok Mahadeorao Nete,Bharatiya Janta Party,1469767.0,1027129.0,69.9 %,236870.0,23.1%,BJP
504,Gondia,MAHARASHTRA,BHANDARA-GONDIYA,BHANDARA-GONDIYA,11.0,GEN,Nanabhau Falgunrao Patole,Bharatiya Janta Party,1656284.0,1197196.0,72.3 %,149254.0,12.5%,BJP
505,Gondia,MAHARASHTRA,GADCHIROLI-CHIMUR,GADCHIROLI-CHIMUR,12.0,ST,Ashok Mahadeorao Nete,Bharatiya Janta Party,1469767.0,1027129.0,69.9 %,236870.0,23.1%,BJP
506,Hingoli,MAHARASHTRA,HINGOLI,HINGOLI,15.0,GEN,Rajeev Shankarrao Satav,Indian National Congress,1586194.0,1051164.0,66.3 %,1632.0,0.2%,INC
507,Jalgaon,MAHARASHTRA,JALGAON,JALGAON,3.0,GEN,A.T. Nana Patil,Bharatiya Janta Party,1707933.0,990332.0,58.0 %,383525.0,38.7%,BJP
508,Jalgaon,MAHARASHTRA,RAVER,RAVER,4.0,GEN,Khadase Raksha Nikhil,Bharatiya Janta Party,1593370.0,1009213.0,63.3 %,318068.0,31.5%,BJP
509,Jalna,MAHARASHTRA,JALNA,JALNA,18.0,GEN,Danve Raosaheb Dadarao,Bharatiya Janta Party,1612054.0,1066259.0,66.1 %,206798.0,19.4%,BJP
510,Jalna,MAHARASHTRA,PARBHANI,PARBHANI,17.0,GEN,Jadhav Sanjay (BANDU) HARIBHAU,Shiv Sena,1803792.0,1162233.0,64.4 %,127155.0,10.9%,SS
511,Kolhapur,MAHARASHTRA,HATKANANGLE,HATKANANGLE,48.0,GEN,Raju Shetty,Swabhimani Paksha,1630598.0,1188871.0,72.9 %,177810.0,15.0%,SP
512,Kolhapur,MAHARASHTRA,KOLHAPUR,KOLHAPUR,47.0,GEN,Dhananjay Bhimrao Mahadik,Nationalist Congress Party,1758300.0,1260289.0,71.7 %,33259.0,2.6%,NCP
513,Latur,MAHARASHTRA,LATUR,LATUR,41.0,SC,Dr. Sunil Baliram Gaikwad,Bharatiya Janta Party,1682607.0,1057156.0,62.8 %,253395.0,24.0%,BJP
514,Latur,MAHARASHTRA,OSMANABAD,OSMANABAD,40.0,GEN,Gaikwad Ravindra Vishwanath,Shiv Sena,1726793.0,1118151.0,64.8 %,234325.0,21.0%,SS
515,Mumbai City,MAHARASHTRA,MUMBAI SOUTH,MUMBAI SOUTH,31.0,GEN,Arvind Sawant,Shiv Sena,1485846.0,780715.0,52.5 %,128148.0,16.4%,SS
516,Mumbai City,MAHARASHTRA,MUMBAI SOUTH CENTRAL,MUMBAI SOUTH CENTRAL,30.0,GEN,Rahul Ramesh Shewale,Shiv Sena,1447885.0,769060.0,53.1 %,138342.0,18.0%,SS
517,Mumbai Suburban,MAHARASHTRA,MUMBAI NORTH,MUMBAI NORTH,26.0,GEN,Gopal Chinayya Shetty,Bharatiya Janta Party,1783870.0,946562.0,53.1 %,446582.0,47.2%,BJP
518,Mumbai Suburban,MAHARASHTRA,MUMBAI NORTH CENTRAL,MUMBAI NORTH CENTRAL,29.0,GEN,Poonam Mahajan Alias Poonam Vajendla Rao,Bharatiya Janta Party,1738894.0,845292.0,48.6 %,186771.0,22.1%,BJP
519,Mumbai Suburban,MAHARASHTRA,MUMBAI NORTH EAST,MUMBAI NORTH EAST,28.0,GEN,Kirit Somaiya,Bharatiya Janta Party,1668357.0,861761.0,51.7 %,317122.0,36.8%,BJP
520,Mumbai Suburban,MAHARASHTRA,MUMBAI NORTH WEST,MUMBAI NORTH WEST,27.0,GEN,Gajanan Chandrakant Kirtikar,Shiv Sena,1775428.0,895517.0,50.4 %,183028.0,20.4%,SS
521,Nagpur,MAHARASHTRA,NAGPUR,NAGPUR,10.0,GEN,Gadkari Nitin Jairam,Bharatiya Janta Party,1900787.0,1085058.0,57.1 %,284828.0,26.3%,BJP
522,Nagpur,MAHARASHTRA,RAMTEK,RAMTEK,9.0,SC,Krupal Balaji Tumane,Shiv Sena,1677245.0,1050316.0,62.6 %,175791.0,16.7%,SS
523,Nanded,MAHARASHTRA,HINGOLI,HINGOLI,15.0,GEN,Rajeev Shankarrao Satav,Indian National Congress,1586194.0,1051164.0,66.3 %,1632.0,0.2%,INC
524,Nanded,MAHARASHTRA,LATUR,LATUR,41.0,SC,Dr. Sunil Baliram Gaikwad,Bharatiya Janta Party,1682607.0,1057156.0,62.8 %,253395.0,24.0%,BJP
525,Nanded,MAHARASHTRA,NANDED,NANDED,16.0,GEN,Ashok Shankarrao Chavan,Indian National Congress,1687057.0,1013350.0,60.1 %,81455.0,8.0%,INC
526,Nandurbar,MAHARASHTRA,NANDURBAR,NANDURBAR,1.0,ST,Dr.Gavit Heena Vaijaykumar,Bharatiya Janta Party,1672715.0,1116676.0,66.8 %,106905.0,9.6%,BJP
527,Nashik,MAHARASHTRA,DHULE,DHULE,2.0,GEN,Dr. Bhamre Subhash Ramrao,Bharatiya Janta Party,1674469.0,983083.0,58.7 %,130723.0,13.3%,BJP
528,Nashik,MAHARASHTRA,DINDORI,DINDORI,20.0,ST,Chavan Harishchandra Deoram,Bharatiya Janta Party,1530139.0,970182.0,63.4 %,247619.0,25.5%,BJP
529,Nashik,MAHARASHTRA,NASHIK,NASHIK,21.0,GEN,Godse Hemant Tukaram,Shiv Sena,1593237.0,937405.0,58.8 %,187336.0,20.0%,SS
530,Osmanabad,MAHARASHTRA,OSMANABAD,OSMANABAD,40.0,GEN,Gaikwad Ravindra Vishwanath,Shiv Sena,1726793.0,1118151.0,64.8 %,234325.0,21.0%,SS
531,Parbhani,MAHARASHTRA,PARBHANI,PARBHANI,17.0,GEN,Jadhav Sanjay (BANDU) HARIBHAU,Shiv Sena,1803792.0,1162233.0,64.4 %,127155.0,10.9%,SS
532,Pune,MAHARASHTRA,BARAMATI,BARAMATI,35.0,GEN,Supriya Sule,Nationalist Congress Party,1813543.0,1066556.0,58.8 %,69719.0,6.5%,NCP
533,Pune,MAHARASHTRA,MAVAL,MAVAL,33.0,GEN,Appa Alias Shrirang Chandu Barne,Shiv Sena,1953741.0,1174335.0,60.1 %,157397.0,13.4%,SS
534,Pune,MAHARASHTRA,PUNE,PUNE,34.0,GEN,Anil Shirole,Bharatiya Janta Party,1835836.0,993274.0,54.1 %,315769.0,31.8%,BJP
535,Pune,MAHARASHTRA,SHIRUR,SHIRUR,36.0,GEN,Adhalrao Shivaji Dattatrey,Shiv Sena,1824112.0,1089506.0,59.7 %,301814.0,27.7%,SS
536,Raigad,MAHARASHTRA,MAVAL,MAVAL,33.0,GEN,Appa Alias Shrirang Chandu Barne,Shiv Sena,1953741.0,1174335.0,60.1 %,157397.0,13.4%,SS
537,Raigad,MAHARASHTRA,RAIGAD,RAIGAD,32.0,GEN,Anant Geete,Shiv Sena,1532781.0,987766.0,64.4 %,2110.0,0.2%,SS
538,Ratnagiri,MAHARASHTRA,RAIGAD,RAIGAD,32.0,GEN,Anant Geete,Shiv Sena,1532781.0,987766.0,64.4 %,2110.0,0.2%,SS
539,Ratnagiri,MAHARASHTRA,RATNAGIRI SINDHUDURG,RATNAGIRI SINDHUDURG,46.0,GEN,Vinayak Bhaurao Raut,Shiv Sena,1367361.0,896256.0,65.6 %,150051.0,16.7%,SS
540,Sangli,MAHARASHTRA,HATKANANGLE,HATKANANGLE,48.0,GEN,Raju Shetty,Swabhimani Paksha,1630598.0,1188871.0,72.9 %,177810.0,15.0%,SP
541,Sangli,MAHARASHTRA,SANGLI,SANGLI,44.0,GEN,Sanjaykaka Patil,Bharatiya Janta Party,1649107.0,1046659.0,63.5 %,239292.0,22.9%,BJP
542,Satara,MAHARASHTRA,MADHA,MADHA,43.0,GEN,Mohite Patil Vijaysinh Shankarrao,Nationalist Congress Party,1727308.0,1079619.0,62.5 %,25344.0,2.3%,NCP
543,Satara,MAHARASHTRA,SATARA,SATARA,45.0,GEN,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,Nationalist Congress Party,1719998.0,976681.0,56.8 %,366594.0,37.5%,NCP
544,Sindhudurg,MAHARASHTRA,RATNAGIRI SINDHUDURG,RATNAGIRI SINDHUDURG,46.0,GEN,Vinayak Bhaurao Raut,Shiv Sena,1367361.0,896256.0,65.6 %,150051.0,16.7%,SS
545,Solapur,MAHARASHTRA,MADHA,MADHA,43.0,GEN,Mohite Patil Vijaysinh Shankarrao,Nationalist Congress Party,1727308.0,1079619.0,62.5 %,25344.0,2.3%,NCP
546,Solapur,MAHARASHTRA,OSMANABAD,OSMANABAD,40.0,GEN,Gaikwad Ravindra Vishwanath,Shiv Sena,1726793.0,1118151.0,64.8 %,234325.0,21.0%,SS
547,Solapur,MAHARASHTRA,SOLAPUR,SOLAPUR,42.0,SC,Sharad Bansode,Bharatiya Janta Party,1702755.0,951201.0,55.9 %,149674.0,15.7%,BJP
548,Thane,MAHARASHTRA,BHIWANDI,BHIWANDI,23.0,GEN,Kapil Moreshwar Patil,Bharatiya Janta Party,1696589.0,875605.0,51.6 %,109450.0,12.5%,BJP
549,Thane,MAHARASHTRA,KALYAN,KALYAN,24.0,GEN,Dr.Shrikant Eknath Shinde,Shiv Sena,1922046.0,824196.0,42.9 %,250749.0,30.4%,SS
550,Thane,MAHARASHTRA,PALGHAR,PALGHAR,22.0,ST,Adv. Chintaman Navasha Wanga,Bharatiya Janta Party,1578077.0,992618.0,62.9 %,239520.0,24.1%,BJP
551,Thane,MAHARASHTRA,THANE,THANE,25.0,GEN,Vichare Rajan Baburao,Shiv Sena,2073442.0,1054189.0,50.8 %,281299.0,26.7%,SS
552,Wardha,MAHARASHTRA,WARDHA,WARDHA,8.0,GEN,Ramdas Chandrabhanji Tadas,Bharatiya Janta Party,1564553.0,1013445.0,64.8 %,215783.0,21.3%,BJP
553,Washim,MAHARASHTRA,AKOLA,AKOLA,6.0,GEN,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1646463.0,978491.0,59.4 %,203116.0,20.8%,BJP
554,Washim,MAHARASHTRA,YAVATMAL-WASHIM,YAVATMAL-WASHIM,14.0,GEN,Gawali Bhavana Pundlikrao,Shiv Sena,1743498.0,1032949.0,59.3 %,93816.0,9.1%,SS
555,Yavatmal,MAHARASHTRA,CHANDRAPUR,CHANDRAPUR,13.0,GEN,Ahir Hansraj Gangaram,Bharatiya Janta Party,1753690.0,1109743.0,63.3 %,236269.0,21.3%,BJP
556,Yavatmal,MAHARASHTRA,HINGOLI,HINGOLI,15.0,GEN,Rajeev Shankarrao Satav,Indian National Congress,1586194.0,1051164.0,66.3 %,1632.0,0.2%,INC
557,Yavatmal,MAHARASHTRA,YAVATMAL-WASHIM,YAVATMAL-WASHIM,14.0,GEN,Gawali Bhavana Pundlikrao,Shiv Sena,1743498.0,1032949.0,59.3 %,93816.0,9.1%,SS
558,Bishnupur,MANIPUR,INNER MANIPUR,INNER MANIPUR,1.0,GEN,Dr. Thokchom Meinya,Indian National Congress,855359.0,640871.0,74.9 %,94674.0,14.8%,INC
559,Bishnupur,MANIPUR,OUTER MANIPUR,OUTER MANIPUR,2.0,ST,Thangso Baite,Indian National Congress,918966.0,771766.0,84.0 %,15637.0,2.0%,INC
560,Chandel,MANIPUR,INNER MANIPUR,INNER MANIPUR,1.0,GEN,Dr. Thokchom Meinya,Indian National Congress,855359.0,640871.0,74.9 %,94674.0,14.8%,INC
561,Chandel,MANIPUR,OUTER MANIPUR,OUTER MANIPUR,2.0,ST,Thangso Baite,Indian National Congress,918966.0,771766.0,84.0 %,15637.0,2.0%,INC
562,Churachandpur,MANIPUR,OUTER MANIPUR,OUTER MANIPUR,2.0,ST,Thangso Baite,Indian National Congress,918966.0,771766.0,84.0 %,15637.0,2.0%,INC
563,Imphal East,MANIPUR,INNER MANIPUR,INNER MANIPUR,1.0,GEN,Dr. Thokchom Meinya,Indian National Congress,855359.0,640871.0,74.9 %,94674.0,14.8%,INC
564,Imphal East,MANIPUR,OUTER MANIPUR,OUTER MANIPUR,2.0,ST,Thangso Baite,Indian National Congress,918966.0,771766.0,84.0 %,15637.0,2.0%,INC
565,Imphal West,MANIPUR,INNER MANIPUR,INNER MANIPUR,1.0,GEN,Dr. Thokchom Meinya,Indian National Congress,855359.0,640871.0,74.9 %,94674.0,14.8%,INC
566,Imphal West,MANIPUR,OUTER MANIPUR,OUTER MANIPUR,2.0,ST,Thangso Baite,Indian National Congress,918966.0,771766.0,84.0 %,15637.0,2.0%,INC
567,Senapati,MANIPUR,OUTER MANIPUR,OUTER MANIPUR,2.0,ST,Thangso Baite,Indian National Congress,918966.0,771766.0,84.0 %,15637.0,2.0%,INC
568,Tamenglong,MANIPUR,OUTER MANIPUR,OUTER MANIPUR,2.0,ST,Thangso Baite,Indian National Congress,918966.0,771766.0,84.0 %,15637.0,2.0%,INC
569,Thoubal,MANIPUR,INNER MANIPUR,INNER MANIPUR,1.0,GEN,Dr. Thokchom Meinya,Indian National Congress,855359.0,640871.0,74.9 %,94674.0,14.8%,INC
570,Thoubal,MANIPUR,OUTER MANIPUR,OUTER MANIPUR,2.0,ST,Thangso Baite,Indian National Congress,918966.0,771766.0,84.0 %,15637.0,2.0%,INC
571,Ukhrul,MANIPUR,OUTER MANIPUR,OUTER MANIPUR,2.0,ST,Thangso Baite,Indian National Congress,918966.0,771766.0,84.0 %,15637.0,2.0%,INC
572,East Garo Hills,MEGHALAYA,TURA,TURA,2.0,ST,Purno Agitok Sangma,National People's Party,586501.0,458071.0,78.1 %,39716.0,8.7%,NPP
573,East Khasi Hills,MEGHALAYA,SHILLONG,SHILLONG,1.0,ST,Vincent H. Pala,Indian National Congress,980740.0,619987.0,63.2 %,40379.0,6.5%,INC
